imag,steering_angle
1screen.png,-1.778314737
2screen.png,-1.778314737
3screen.png,-1.778314737
4screen.png,-1.778314737
5screen.png,-1.778314737
6screen.png,-1.777384778
7screen.png,-1.775535672
8screen.png,-1.772772909
9screen.png,-1.769101183
10screen.png,-1.76452846
11screen.png,-1.759066603
12screen.png,-1.752731285
13screen.png,-1.745534199
14screen.png,-1.737505271
15screen.png,-1.72866818
16screen.png,-1.719048061
17screen.png,-1.708670964
18screen.png,-1.697563364
19screen.png,-1.685751774
20screen.png,-1.67326245
21screen.png,-1.660100414
22screen.png,-1.646291676
23screen.png,-1.631861382
24screen.png,-1.616833767
25screen.png,-1.601232146
26screen.png,-1.585078973
27screen.png,-1.568395868
28screen.png,-1.551203659
29screen.png,-1.533522433
30screen.png,-1.515371596
31screen.png,-1.496769935
32screen.png,-1.477735675
33screen.png,-1.458321951
34screen.png,-1.438543072
35screen.png,-1.41841335
36screen.png,-1.397947092
37screen.png,-1.37715853
38screen.png,-1.356061827
39screen.png,-1.334671094
40screen.png,-1.313000395
41screen.png,-1.29106375
42screen.png,-1.268875145
43screen.png,-1.246448527
44screen.png,-1.223797807
45screen.png,-1.200936857
46screen.png,-1.1778795
47screen.png,-1.154639512
48screen.png,-1.131230607
49screen.png,-1.10766643
50screen.png,-1.083960549
51screen.png,-1.060126439
52screen.png,-1.036177473
53screen.png,-1.012126913
54screen.png,-0.987987888
55screen.png,-0.963773391
56screen.png,-0.939496261
57screen.png,-0.915169171
58screen.png,-0.890804615
59screen.png,-0.866414899
60screen.png,-0.842012124
61screen.png,-0.81760818
62screen.png,-0.793214733
63screen.png,-0.768794409
64screen.png,-0.74436386
65screen.png,-0.719938799
66screen.png,-0.69553409
67screen.png,-0.671163813
68screen.png,-0.646841427
69screen.png,-0.622579801
70screen.png,-0.598391244
71screen.png,-0.57428753
72screen.png,-0.550279919
73screen.png,-0.526379184
74screen.png,-0.502595627
75screen.png,-0.478939096
76screen.png,-0.455419003
77screen.png,-0.432044338
78screen.png,-0.408823686
79screen.png,-0.385765237
80screen.png,-0.362876802
81screen.png,-0.34016582
82screen.png,-0.317639378
83screen.png,-0.295304215
84screen.png,-0.273166735
85screen.png,-0.251233022
86screen.png,-0.229508842
87screen.png,-0.207999663
88screen.png,-0.186710658
89screen.png,-0.165646716
90screen.png,-0.144812458
91screen.png,-0.124212236
92screen.png,-0.103850153
93screen.png,-0.083730067
94screen.png,-0.063855598
95screen.png,-0.044230146
96screen.png,-0.024856888
97screen.png,-0.005738799
98screen.png,0.013121349
99screen.png,0.031720973
100screen.png,0.050057672
101screen.png,0.068129219
102screen.png,0.085933554
103screen.png,0.103468775
104screen.png,0.120733129
105screen.png,0.137725008
106screen.png,0.154442941
107screen.png,0.170885583
108screen.png,0.187051714
109screen.png,0.202940231
110screen.png,0.218550139
111screen.png,0.233880548
112screen.png,0.248930666
113screen.png,0.263699795
114screen.png,0.278187324
115screen.png,0.292392725
116screen.png,0.306315549
117screen.png,0.319955422
118screen.png,0.333312036
119screen.png,0.346385154
120screen.png,0.359174598
121screen.png,0.371680251
122screen.png,0.383902051
123screen.png,0.395839991
124screen.png,0.407494112
125screen.png,0.418864506
126screen.png,0.429951309
127screen.png,0.440754703
128screen.png,0.451274911
129screen.png,0.4615122
130screen.png,0.471466874
131screen.png,0.481139277
132screen.png,0.490529791
133screen.png,0.499638836
134screen.png,0.508466867
135screen.png,0.517014379
136screen.png,0.5252819
137screen.png,0.533269995
138screen.png,0.540979268
139screen.png,0.548410358
140screen.png,0.55556394
141screen.png,0.562440729
142screen.png,0.569041478
143screen.png,0.575366978
144screen.png,0.581418062
145screen.png,0.587195601
146screen.png,0.592700511
147screen.png,0.597933749
148screen.png,0.602896316
149screen.png,0.60758926
150screen.png,0.612013672
151screen.png,0.616170696
152screen.png,0.620061519
153screen.png,0.623687382
154screen.png,0.627049576
155screen.png,0.630149445
156screen.png,0.632988388
157screen.png,0.635567857
158screen.png,0.637889363
159screen.png,0.639954471
160screen.png,0.641764809
161screen.png,0.643322062
162screen.png,0.644627977
163screen.png,0.645684363
164screen.png,0.64649309
165screen.png,0.647056094
166screen.png,0.647375374
167screen.png,0.647452995
168screen.png,0.647291087
169screen.png,0.646891846
170screen.png,0.646257537
171screen.png,0.645390489
172screen.png,0.644293099
173screen.png,0.642967833
174screen.png,0.641417224
175screen.png,0.63964387
176screen.png,0.637650438
177screen.png,0.635439663
178screen.png,0.633014344
179screen.png,0.630377348
180screen.png,0.627531606
181screen.png,0.624480115
182screen.png,0.621225933
183screen.png,0.617772184
184screen.png,0.614122052
185screen.png,0.610278781
186screen.png,0.606245677
187screen.png,0.602026101
188screen.png,0.597623471
189screen.png,0.593041261
190screen.png,0.588282998
191screen.png,0.58335226
192screen.png,0.578252675
193screen.png,0.572987917
194screen.png,0.567561709
195screen.png,0.561977815
196screen.png,0.556240042
197screen.png,0.550352234
198screen.png,0.544318276
199screen.png,0.538142084
200screen.png,0.531827608
201screen.png,0.525378829
202screen.png,0.518799752
203screen.png,0.512094412
204screen.png,0.505266861
205screen.png,0.498321176
206screen.png,0.491261448
207screen.png,0.484091784
208screen.png,0.476816303
209screen.png,0.469439135
210screen.png,0.461964414
211screen.png,0.454396282
212screen.png,0.446738881
213screen.png,0.438996352
214screen.png,0.431172833
215screen.png,0.423272459
216screen.png,0.415299352
217screen.png,0.407257627
218screen.png,0.399151385
219screen.png,0.390984711
220screen.png,0.382761674
221screen.png,0.374486321
222screen.png,0.366162677
223screen.png,0.357794744
224screen.png,0.349386495
225screen.png,0.340941878
226screen.png,0.332464807
227screen.png,0.323959164
228screen.png,0.315428798
229screen.png,0.30687752
230screen.png,0.298309105
231screen.png,0.289727287
232screen.png,0.281135757
233screen.png,0.272538167
234screen.png,0.263938121
235screen.png,0.25533918
236screen.png,0.246744855
237screen.png,0.238158611
238screen.png,0.229583863
239screen.png,0.221023974
240screen.png,0.212482258
241screen.png,0.203961972
242screen.png,0.195483496
243screen.png,0.18704805
244screen.png,0.178657049
245screen.png,0.170312067
246screen.png,0.161997795
247screen.png,0.153717951
248screen.png,0.145476056
249screen.png,0.137275458
250screen.png,0.129119349
251screen.png,0.121010811
252screen.png,0.112952826
253screen.png,0.104948277
254screen.png,0.09699995
255screen.png,0.089110545
256screen.png,0.08128267
257screen.png,0.073518852
258screen.png,0.065821535
259screen.png,0.05974966
260screen.png,0.052227859
261screen.png,0.047979081
262screen.png,0.043874537
263screen.png,0.036723077
264screen.png,0.032915344
265screen.png,0.029257606
266screen.png,0.022482716
267screen.png,0.019116984
268screen.png,0.01256085
269screen.png,0.009488104
270screen.png,0.006557594
271screen.png,0.003773788
272screen.png,-0.002280892
273screen.png,-0.004772458
274screen.png,-0.010613329
275screen.png,-0.012816937
276screen.png,-0.014878846
277screen.png,-0.016793867
278screen.png,-0.022148085
279screen.png,-0.023772083
280screen.png,-0.025248936
281screen.png,-0.030256175
282screen.png,-0.027769337
283screen.png,-0.032494793
284screen.png,-0.037165573
285screen.png,-0.037926512
286screen.png,-0.038537736
287screen.png,-0.039008934
288screen.png,-0.043216143
289screen.png,-0.043397963
290screen.png,-0.043430869
291screen.png,-0.047308464
292screen.png,-0.04706042
293screen.png,-0.046662105
294screen.png,-0.046115991
295screen.png,-0.049542853
296screen.png,-0.048712206
297screen.png,-0.047733043
298screen.png,-0.046607764
299screen.png,-0.049594663
300screen.png,-0.048190261
301screen.png,-0.046638772
302screen.png,-0.036424019
303screen.png,-0.038785036
304screen.png,-0.041116642
305screen.png,-0.043423301
306screen.png,-0.041164731
